Consensus (automatic)	Assessment_1	Assessment_2	URL	Project	Method	Invariant_type	Invariant	Comments
irrelevant	irrelevant	irrelevant	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Template.cs#L81	dotliquid	DotLiquid.Template.RegisterSafeType(System.Type type, System.String[] allowedMembers)	post	DotLiquid.Template.ValueTypeTransformers == Contract.OldValue(DotLiquid.Template.ValueTypeTransformers)	
valid	valid	valid	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Template.cs#L82	dotliquid	DotLiquid.Template.RegisterSafeType(System.Type type, System.String[] allowedMembers)	post	DotLiquid.Template.SafeTypeTransformers != null	
invalid	invalid	invalid	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Template.cs#L83	dotliquid	DotLiquid.Template.RegisterSafeType(System.Type type, System.String[] allowedMembers)	post	Contract.ForAll(allowedMembers, x => x.ToString().OneOf("Name", "ToString"))	
irrelevant	irrelevant	irrelevant	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Template.cs#L84	dotliquid	DotLiquid.Template.RegisterSafeType(System.Type type, System.String[] allowedMembers)	post	DotLiquid.Template.NamingConvention == Contract.OldValue(DotLiquid.Template.NamingConvention)	
valid	valid	valid	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Context.cs#L348	dotliquid	DotLiquid.Context.IsHashOrArrayLikeObject(System.Object obj, System.Object part)	pre	part != null	
invalid	invalid	invalid	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Context.cs#L349	dotliquid	DotLiquid.Context.IsHashOrArrayLikeObject(System.Object obj, System.Object part)	pre	obj != null	
invalid	invalid	invalid	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Context.cs#L350	dotliquid	DotLiquid.Context.IsHashOrArrayLikeObject(System.Object obj, System.Object part)	post	(Contract.Result<bool>() == false).Implies(Contract.OldValue(obj) != null)	
invalid	invalid	invalid	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Context.cs#L351	dotliquid	DotLiquid.Context.IsHashOrArrayLikeObject(System.Object obj, System.Object part)	post	Contract.OldValue(obj) != null	
invalid	invalid	invalid	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Context.cs#L352	dotliquid	DotLiquid.Context.IsHashOrArrayLikeObject(System.Object obj, System.Object part)	post	Contract.Result<bool>() == false	
invalid	invalid	invalid	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Context.cs#L353	dotliquid	DotLiquid.Context.IsHashOrArrayLikeObject(System.Object obj, System.Object part)	post	Contract.Result<bool>() == true	
valid	valid	valid	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Context.cs#L354	dotliquid	DotLiquid.Context.IsHashOrArrayLikeObject(System.Object obj, System.Object part)	post	Contract.OldValue(part) != null	
invalid	invalid	invalid	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Context.cs#L355	dotliquid	DotLiquid.Context.IsHashOrArrayLikeObject(System.Object obj, System.Object part)	post	Contract.Result<bool>() == true	
valid	valid	valid	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Context.cs#L356	dotliquid	DotLiquid.Context.IsHashOrArrayLikeObject(System.Object obj, System.Object part)	post	Contract.OldValue(part) != null	
invalid	invalid	invalid	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Context.cs#L357	dotliquid	DotLiquid.Context.IsHashOrArrayLikeObject(System.Object obj, System.Object part)	post	Contract.OldValue(obj) != null	
invalid	invalid	invalid	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Context.cs#L358	dotliquid	DotLiquid.Context.IsHashOrArrayLikeObject(System.Object obj, System.Object part)	post	Contract.Result<bool>() == false	
invalid	invalid	invalid	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Context.cs#L359	dotliquid	DotLiquid.Context.IsHashOrArrayLikeObject(System.Object obj, System.Object part)	post	(Contract.Result<bool>() == false).Implies(Contract.OldValue(part) != null)	
valid	valid	valid	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Strainer.cs#L69	dotliquid	DotLiquid.Strainer.RespondTo(System.String method)	pre	method != null	
irrelevant	irrelevant	irrelevant	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Strainer.cs#L70	dotliquid	DotLiquid.Strainer.RespondTo(System.String method)	pre	DotLiquid.Strainer.Filters != null	
irrelevant	irrelevant	irrelevant	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Strainer.cs#L71	dotliquid	DotLiquid.Strainer.RespondTo(System.String method)	pre	this._context._strainer != null	
irrelevant	irrelevant	irrelevant	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Strainer.cs#L72	dotliquid	DotLiquid.Strainer.RespondTo(System.String method)	pre	this == this._context._strainer	also likely invalid
irrelevant	irrelevant	irrelevant	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Strainer.cs#L73	dotliquid	DotLiquid.Strainer.RespondTo(System.String method)	pre	DotLiquid.Strainer.Filters != null	
irrelevant	irrelevant	irrelevant	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Strainer.cs#L74	dotliquid	DotLiquid.Strainer.RespondTo(System.String method)	post	this._context._rethrowErrors == Contract.OldValue(this._context._rethrowErrors)	
irrelevant	irrelevant	irrelevant	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Strainer.cs#L75	dotliquid	DotLiquid.Strainer.RespondTo(System.String method)	post	DotLiquid.Strainer.Filters == Contract.OldValue(DotLiquid.Strainer.Filters)	
invalid	invalid	invalid	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Strainer.cs#L76	dotliquid	DotLiquid.Strainer.RespondTo(System.String method)	post	(Contract.Result<bool>() == false).Implies(method.Equals("hi"))	also likely invalid
irrelevant	irrelevant	irrelevant	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Strainer.cs#L77	dotliquid	DotLiquid.Strainer.RespondTo(System.String method)	post	this._context._strainer == Contract.OldValue(this)	also likely invalid
valid	valid	valid	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Strainer.cs#L78	dotliquid	DotLiquid.Strainer.RespondTo(System.String method)	post	(Contract.Result<bool>() == false).Implies(Contract.OldValue(method) != null)	ContainsKey would throw on null
irrelevant	irrelevant	irrelevant	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Strainer.cs#L79	dotliquid	DotLiquid.Strainer.RespondTo(System.String method)	post	DotLiquid.Strainer.Filters != null	
valid	valid	valid	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Strainer.cs#L80	dotliquid	DotLiquid.Strainer.RespondTo(System.String method)	post	method.Equals(Contract.OldValue(method))	not useful
invalid	invalid	invalid	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Strainer.cs#L81	dotliquid	DotLiquid.Strainer.RespondTo(System.String method)	post	Contract.Result<bool>() == true	
invalid	invalid	invalid	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Strainer.cs#L82	dotliquid	DotLiquid.Strainer.RespondTo(System.String method)	post	this._context._rethrowErrors == Contract.Result<bool>()	
valid	valid	valid	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Strainer.cs#L83	dotliquid	DotLiquid.Strainer.RespondTo(System.String method)	post	(Contract.Result<bool>() == false).Implies(Contract.OldValue(method) != null)	ContainsKey would throw on null
irrelevant	irrelevant	irrelevant	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Template.cs#L61	dotliquid	DotLiquid.Template.RegisterFilter(System.Type filter)	pre	DotLiquid.Template.ValueTypeTransformers != null	
irrelevant	irrelevant	irrelevant	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Template.cs#L62	dotliquid	DotLiquid.Template.RegisterFilter(System.Type filter)	pre	DotLiquid.Template.SafeTypeTransformers != null	
irrelevant	irrelevant	irrelevant	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Template.cs#L63	dotliquid	DotLiquid.Template.RegisterFilter(System.Type filter)	post	DotLiquid.Template.SafeTypeTransformers == Contract.OldValue(DotLiquid.Template.SafeTypeTransformers)	this method (and it's callee) don't refer to this variable, so irrelevant
irrelevant	irrelevant	irrelevant	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Template.cs#L64	dotliquid	DotLiquid.Template.RegisterFilter(System.Type filter)	post	DotLiquid.Template.ValueTypeTransformers == Contract.OldValue(DotLiquid.Template.ValueTypeTransformers)	(see above)
irrelevant	irrelevant	irrelevant	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Template.cs#L65	dotliquid	DotLiquid.Template.RegisterFilter(System.Type filter)	post	DotLiquid.Template.NamingConvention == Contract.OldValue(DotLiquid.Template.NamingConvention)	(see above)
irrelevant	irrelevant	irrelevant	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Template.cs#L66	dotliquid	DotLiquid.Template.RegisterFilter(System.Type filter)	post	DotLiquid.Template.SafeTypeTransformers != null	(see above)
irrelevant	irrelevant	irrelevant	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Template.cs#L67	dotliquid	DotLiquid.Template.RegisterFilter(System.Type filter)	post	DotLiquid.Template.ValueTypeTransformers != null	(see above)
irrelevant	irrelevant	irrelevant	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Template.cs#L91	dotliquid	DotLiquid.Template.RegisterSafeType(System.Type type, System.Func`2<System.Object, System.Object> func)	pre	DotLiquid.Template.ValueTypeTransformers != null	
irrelevant	irrelevant	irrelevant	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Template.cs#L92	dotliquid	DotLiquid.Template.RegisterSafeType(System.Type type, System.Func`2<System.Object, System.Object> func)	pre	DotLiquid.Template.NamingConvention != null	
valid	valid	valid	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Template.cs#L93	dotliquid	DotLiquid.Template.RegisterSafeType(System.Type type, System.Func`2<System.Object, System.Object> func)	pre	DotLiquid.Template.SafeTypeTransformers != null	
valid	valid	valid	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Template.cs#L94	dotliquid	DotLiquid.Template.RegisterSafeType(System.Type type, System.Func`2<System.Object, System.Object> func)	post	DotLiquid.Template.SafeTypeTransformers != null	
irrelevant	irrelevant	irrelevant	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Template.cs#L95	dotliquid	DotLiquid.Template.RegisterSafeType(System.Type type, System.Func`2<System.Object, System.Object> func)	post	DotLiquid.Template.ValueTypeTransformers != null	
irrelevant	irrelevant	irrelevant	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Template.cs#L96	dotliquid	DotLiquid.Template.RegisterSafeType(System.Type type, System.Func`2<System.Object, System.Object> func)	post	DotLiquid.Template.NamingConvention != null	
invalid	invalid	invalid	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Template.cs#L97	dotliquid	DotLiquid.Template.RegisterSafeType(System.Type type, System.Func`2<System.Object, System.Object> func)	post	DotLiquid.Template.SafeTypeTransformers == Contract.OldValue(DotLiquid.Template.SafeTypeTransformers)	
irrelevant	irrelevant	irrelevant	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Template.cs#L98	dotliquid	DotLiquid.Template.RegisterSafeType(System.Type type, System.Func`2<System.Object, System.Object> func)	post	DotLiquid.Template.ValueTypeTransformers == Contract.OldValue(DotLiquid.Template.ValueTypeTransformers)	
irrelevant	irrelevant	irrelevant	https://github.com/dotliquid/dotliquid/blob/9930ea504d5389a764a52372a2ba6a912df57d48/src/DotLiquid/Template.cs#L99	dotliquid	DotLiquid.Template.RegisterSafeType(System.Type type, System.Func`2<System.Object, System.Object> func)	post	DotLiquid.Template.NamingConvention == Contract.OldValue(DotLiquid.Template.NamingConvention)	
irrelevant	irrelevant	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/Core/Proxy.cs#L1836	libgit2sharp	LibGit2Sharp.Core.Proxy.git_reference_set_target(LibGit2Sharp.Core.Handles.ReferenceSafeHandle reference, LibGit2Sharp.ObjectId id, System.String logMessage)	pre	Contract.ForAll(LibGit2Sharp.ObjectId.reverseHexDigits, x => x >= 0)	though probably valid
invalid	invalid	invalid	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/Core/Proxy.cs#L1837	libgit2sharp	LibGit2Sharp.Core.Proxy.git_reference_set_target(LibGit2Sharp.Core.Handles.ReferenceSafeHandle reference, LibGit2Sharp.ObjectId id, System.String logMessage)	pre	LibGit2Sharp.ObjectId.reverseHexDigits.Count()-1 != id.oid.Id[LibGit2Sharp.ObjectId.rawSize-1]	overly complex
invalid	invalid	invalid	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/Core/Proxy.cs#L1838	libgit2sharp	LibGit2Sharp.Core.Proxy.git_reference_set_target(LibGit2Sharp.Core.Handles.ReferenceSafeHandle reference, LibGit2Sharp.ObjectId id, System.String logMessage)	pre	id.oid.Id.LexGTE(LibGit2Sharp.ObjectId.reverseHexDigits)	LexGTE is a daikon call comparing two arrays lexically
valid	valid	valid	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/Core/Proxy.cs#L1839	libgit2sharp	LibGit2Sharp.Core.Proxy.git_reference_set_target(LibGit2Sharp.Core.Handles.ReferenceSafeHandle reference, LibGit2Sharp.ObjectId id, System.String logMessage)	pre	id != null	
irrelevant	irrelevant	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/Core/Proxy.cs#L1840	libgit2sharp	LibGit2Sharp.Core.Proxy.git_reference_set_target(LibGit2Sharp.Core.Handles.ReferenceSafeHandle reference, LibGit2Sharp.ObjectId id, System.String logMessage)	pre	LibGit2Sharp.ObjectId.byteConverter != null	
irrelevant	irrelevant	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/Core/Proxy.cs#L1841	libgit2sharp	LibGit2Sharp.Core.Proxy.git_reference_set_target(LibGit2Sharp.Core.Handles.ReferenceSafeHandle reference, LibGit2Sharp.ObjectId id, System.String logMessage)	pre	LibGit2Sharp.ObjectId.hexDigits != null	
invalid	invalid	invalid	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/Core/Proxy.cs#L1842	libgit2sharp	LibGit2Sharp.Core.Proxy.git_reference_set_target(LibGit2Sharp.Core.Handles.ReferenceSafeHandle reference, LibGit2Sharp.ObjectId id, System.String logMessage)	pre	id.oid.Id.Count()-1 != id.oid.Id[LibGit2Sharp.ObjectId.rawSize-1]	
valid	valid	valid	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/Core/Proxy.cs#L1843	libgit2sharp	LibGit2Sharp.Core.Proxy.git_reference_set_target(LibGit2Sharp.Core.Handles.ReferenceSafeHandle reference, LibGit2Sharp.ObjectId id, System.String logMessage)	pre	reference != null	natural expectation
irrelevant	irrelevant	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/Core/Proxy.cs#L1844	libgit2sharp	LibGit2Sharp.Core.Proxy.git_reference_set_target(LibGit2Sharp.Core.Handles.ReferenceSafeHandle reference, LibGit2Sharp.ObjectId id, System.String logMessage)	pre	LibGit2Sharp.ObjectId.equalityHelper != null	though probably valid
invalid	invalid	invalid	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/Core/Proxy.cs#L1845	libgit2sharp	LibGit2Sharp.Core.Proxy.git_reference_set_target(LibGit2Sharp.Core.Handles.ReferenceSafeHandle reference, LibGit2Sharp.ObjectId id, System.String logMessage)	pre	LibGit2Sharp.ObjectId.rawSize == id.oid.Id.Count()	
irrelevant	irrelevant	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/Core/Proxy.cs#L1846	libgit2sharp	LibGit2Sharp.Core.Proxy.git_reference_set_target(LibGit2Sharp.Core.Handles.ReferenceSafeHandle reference, LibGit2Sharp.ObjectId id, System.String logMessage)	post	Contract.ForAll(LibGit2Sharp.ObjectId.reverseHexDigits, x => x >= 0)	
valid	valid	valid	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/Core/Proxy.cs#L1847	libgit2sharp	LibGit2Sharp.Core.Proxy.git_reference_set_target(LibGit2Sharp.Core.Handles.ReferenceSafeHandle reference, LibGit2Sharp.ObjectId id, System.String logMessage)	post	reference.handle == Contract.OldValue(reference.handle)	
irrelevant	irrelevant	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/Core/Proxy.cs#L1848	libgit2sharp	LibGit2Sharp.Core.Proxy.git_reference_set_target(LibGit2Sharp.Core.Handles.ReferenceSafeHandle reference, LibGit2Sharp.ObjectId id, System.String logMessage)	post	LibGit2Sharp.ObjectId.reverseHexDigits != null	though probably valid
irrelevant	irrelevant	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/Core/Proxy.cs#L1849	libgit2sharp	LibGit2Sharp.Core.Proxy.git_reference_set_target(LibGit2Sharp.Core.Handles.ReferenceSafeHandle reference, LibGit2Sharp.ObjectId id, System.String logMessage)	post	LibGit2Sharp.ObjectId.HexSize == Contract.OldValue(LibGit2Sharp.ObjectId.HexSize)	
valid	valid	valid	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/Core/Proxy.cs#L1850	libgit2sharp	LibGit2Sharp.Core.Proxy.git_reference_set_target(LibGit2Sharp.Core.Handles.ReferenceSafeHandle reference, LibGit2Sharp.ObjectId id, System.String logMessage)	post	id.oid != null	assuming the native method would return an error code
irrelevant	irrelevant	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/Core/Proxy.cs#L1851	libgit2sharp	LibGit2Sharp.Core.Proxy.git_reference_set_target(LibGit2Sharp.Core.Handles.ReferenceSafeHandle reference, LibGit2Sharp.ObjectId id, System.String logMessage)	post	LibGit2Sharp.ObjectId.equalityHelper != null	
valid	valid	valid	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/Core/Proxy.cs#L1852	libgit2sharp	LibGit2Sharp.Core.Proxy.git_reference_set_target(LibGit2Sharp.Core.Handles.ReferenceSafeHandle reference, LibGit2Sharp.ObjectId id, System.String logMessage)	post	logMessage.Equals(Contract.OldValue(logMessage))	
irrelevant	irrelevant	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/Core/Proxy.cs#L1853	libgit2sharp	LibGit2Sharp.Core.Proxy.git_reference_set_target(LibGit2Sharp.Core.Handles.ReferenceSafeHandle reference, LibGit2Sharp.ObjectId id, System.String logMessage)	post	LibGit2Sharp.ObjectId.byteConverter == Contract.OldValue(LibGit2Sharp.ObjectId.byteConverter)	though probably valid
valid	valid	valid	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/Core/Proxy.cs#L1854	libgit2sharp	LibGit2Sharp.Core.Proxy.git_reference_set_target(LibGit2Sharp.Core.Handles.ReferenceSafeHandle reference, LibGit2Sharp.ObjectId id, System.String logMessage)	post	id.oid.Id == Contract.OldValue(id.oid.Id)	
irrelevant	irrelevant	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/Core/Proxy.cs#L1855	libgit2sharp	LibGit2Sharp.Core.Proxy.git_reference_set_target(LibGit2Sharp.Core.Handles.ReferenceSafeHandle reference, LibGit2Sharp.ObjectId id, System.String logMessage)	post	LibGit2Sharp.ObjectId.equalityHelper == Contract.OldValue(LibGit2Sharp.ObjectId.equalityHelper)	though probably valid
invalid	invalid	invalid	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/RepositoryExtensions.cs#L80	libgit2sharp	LibGit2Sharp.RepositoryExtensions.ApplyTag(LibGit2Sharp.IRepository repository, System.String tagName, System.String objectish)	pre	objectish.Equals("HEAD")	
invalid	invalid	invalid	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/RepositoryExtensions.cs#L81	libgit2sharp	LibGit2Sharp.RepositoryExtensions.ApplyTag(LibGit2Sharp.IRepository repository, System.String tagName, System.String objectish)	pre	tagName.Equals("mytaghead")	
valid	valid	valid	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/RepositoryExtensions.cs#L82	libgit2sharp	LibGit2Sharp.RepositoryExtensions.ApplyTag(LibGit2Sharp.IRepository repository, System.String tagName, System.String objectish)	pre	objectish != null	R1 uncertain
valid	valid	valid	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/RepositoryExtensions.cs#L83	libgit2sharp	LibGit2Sharp.RepositoryExtensions.ApplyTag(LibGit2Sharp.IRepository repository, System.String tagName, System.String objectish)	pre	repository != null	
valid	valid	valid	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/RepositoryExtensions.cs#L84	libgit2sharp	LibGit2Sharp.RepositoryExtensions.ApplyTag(LibGit2Sharp.IRepository repository, System.String tagName, System.String objectish)	pre	tagName != null	ensured downstream (R1 was not sure; couldn't find add method with two arguments in TagCollection.cs)
